elapsed_s,inference_extension_flow_control_queue_bytes|batch-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|premium-tenant-c,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|standard-tenant-b,inference_extension_flow_control_queue_size|batch-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|premium-tenant-c,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|standard-tenant-b,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
39.372,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,34.0,0.0
40.407,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,35.0,0.0
41.451,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,37.0,0.0
42.491,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,38.0,0.0
43.527,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,35.0,0.0
44.562,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,34.0,0.0
45.603,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,34.0,0.0
46.642,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,31.0,0.0
47.675,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,31.0,0.0
48.705,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,30.0,0.0
49.739,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,29.0,0.0
50.768,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,29.0,0.0
51.8,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,29.0,0.0
52.829,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,29.0,0.0
53.862,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,30.0,0.0
54.914,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,30.0,0.0
55.952,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,34.0,0.0
56.988,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,33.0,0.0
58.022,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,34.0,0.0
59.058,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,34.0,0.0
60.088,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,36.0,0.0
