elapsed_s,tenant,target_concurrency,actual_inflight
97.136,premium-tenant-a,7,7
97.137,premium-tenant-b,7,7
97.137,premium-tenant-c,5,5
97.137,standard-tenant-a,61,68
97.153,standard-tenant-b,82,88
98.152,premium-tenant-a,7,8
98.152,premium-tenant-b,6,7
98.152,premium-tenant-c,5,5
98.152,standard-tenant-a,62,71
98.166,standard-tenant-b,79,83
99.163,premium-tenant-a,7,8
99.163,premium-tenant-b,6,7
99.163,premium-tenant-c,5,6
99.163,standard-tenant-a,66,59
99.18,standard-tenant-b,87,88
100.174,premium-tenant-a,7,8
100.174,premium-tenant-b,7,8
100.174,premium-tenant-c,6,6
100.174,standard-tenant-a,63,68
100.194,standard-tenant-b,93,85
101.187,premium-tenant-a,8,9
101.187,premium-tenant-b,7,8
101.187,premium-tenant-c,6,6
101.187,standard-tenant-a,69,65
101.21,standard-tenant-b,92,81
102.202,premium-tenant-a,7,7
102.202,premium-tenant-b,7,7
102.202,premium-tenant-c,6,5
102.202,standard-tenant-a,67,71
102.219,standard-tenant-b,89,87
103.215,premium-tenant-a,7,8
103.215,premium-tenant-b,7,7
103.215,premium-tenant-c,7,7
103.216,standard-tenant-a,77,78
103.231,standard-tenant-b,89,87
104.227,premium-tenant-a,8,7
104.227,premium-tenant-b,7,8
104.227,premium-tenant-c,7,4
104.227,standard-tenant-a,81,77
104.247,standard-tenant-b,87,89
105.241,premium-tenant-a,8,8
105.241,premium-tenant-b,7,7
105.241,premium-tenant-c,7,8
105.241,standard-tenant-a,81,81
105.26,standard-tenant-b,86,81
106.253,premium-tenant-a,8,8
106.253,premium-tenant-b,7,7
106.253,premium-tenant-c,7,7
106.253,standard-tenant-a,93,88
106.271,standard-tenant-b,83,83
107.266,premium-tenant-a,8,8
107.266,premium-tenant-b,7,8
107.266,premium-tenant-c,7,7
107.266,standard-tenant-a,81,94
107.282,standard-tenant-b,81,77
108.28,premium-tenant-a,8,9
108.28,premium-tenant-b,7,7
108.28,premium-tenant-c,7,8
108.28,standard-tenant-a,81,86
108.294,standard-tenant-b,80,81
