elapsed_s,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
77.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,3.0,0.0
78.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
79.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
80.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
81.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
82.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
83.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
84.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,4.0,0.0
85.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,3.0,0.0
86.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
87.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,3.0,0.0
88.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
89.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,4.0,0.0
90.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
91.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,4.0,0.0
92.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,4.0,0.0
93.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,4.0,0.0
94.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
95.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,4.0,0.0
