elapsed_s,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
119.236,02-test2_priority_noisy-r02,test2_priority_noisy,126.0,16.0
120.275,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
121.325,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
122.355,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,10.0
123.385,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,8.0
124.428,02-test2_priority_noisy-r02,test2_priority_noisy,118.0,0.0
125.479,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
126.527,02-test2_priority_noisy-r02,test2_priority_noisy,127.0,10.0
127.562,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,5.0
128.594,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,6.0
129.631,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,22.0
130.664,02-test2_priority_noisy-r02,test2_priority_noisy,123.0,26.0
131.699,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,6.0
132.73,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,2.0
133.789,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,44.0
134.838,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,53.0
135.879,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,31.0
136.923,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,8.0
137.962,02-test2_priority_noisy-r02,test2_priority_noisy,117.0,0.0
139.042,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,34.0
140.081,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,38.0
141.125,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,5.0
142.163,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,18.0
143.22,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,52.0
144.273,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,30.0
145.327,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,26.0
146.363,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,5.0
147.413,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
148.453,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,10.0
149.486,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,22.0
150.532,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,17.0
151.576,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,10.0
152.613,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
153.646,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,2.0
154.69,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,20.0
155.737,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
156.779,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,6.0
157.82,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,20.0
158.852,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,26.0
159.88,02-test2_priority_noisy-r02,test2_priority_noisy,126.0,24.0
160.931,02-test2_priority_noisy-r02,test2_priority_noisy,119.0,0.0
162.027,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,3.0
163.078,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,25.0
164.122,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
165.152,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,3.0
166.184,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,47.0
167.227,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,47.0
