elapsed_s,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
77.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,5.0,0.0
78.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
79.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,4.0,0.0
80.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,5.0,0.0
81.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,5.0,0.0
82.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
83.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,6.0,0.0
84.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,1.0,0.0
85.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,5.0,0.0
86.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,2.0,0.0
87.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
88.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
89.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,4.0,0.0
90.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
91.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,4.0,0.0
92.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,2.0,0.0
93.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
94.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
95.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,5.0,0.0
96.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
97.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,5.0,0.0
98.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,4.0,0.0
99.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,3.0,0.0
100.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,6.0,0.0
102.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,8.0,0.0
103.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,4.0,0.0
104.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
105.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
106.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
107.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
108.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,10.0,0.0
109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
110.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
111.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
112.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
113.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
114.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
115.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
116.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
117.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
118.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
119.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,9.0,0.0
120.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
121.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
122.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
123.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
124.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,18.0,0.0
125.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
126.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
127.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
128.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
129.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,17.0,0.0
130.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
131.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
132.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,18.0,0.0
134.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,17.0,0.0
135.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,17.0,0.0
136.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,19.0,0.0
137.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,19.0,0.0
138.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,17.0,0.0
139.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
140.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,21.0,0.0
141.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,21.0,0.0
142.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
